participant_months,contact_0,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_17,contact_18,contact_19,contact_20,contact_21,contact_22,contact_23,contact_24,contact_60
10,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,2.025,10.9
11,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,2.025,10.9
12,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,3.3,12.7
13,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,3.3,12.7
14,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,3.3,12.7
15,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,3.3,12.7
16,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,3.3,12.7
17,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,3.3,12.7
18,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,3.3,12.7
19,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,3.3,12.7
20,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,3.3,12.7
21,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,3.3,12.7
22,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,3.3,12.7
23,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,3.3,12.7
24,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.041666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,0.091666667,3.3,12.7
60,0.05105198,0.05105198,0.05105198,0.05105198,0.05105198,0.05105198,0.05105198,0.05105198,0.05105198,0.05105198,0.05105198,0.05105198,0.056623429,0.056623429,0.056623429,0.056623429,0.056623429,0.056623429,0.056623429,0.056623429,0.056623429,0.056623429,0.056623429,0.056623429,2.038443461,15.3671595
